version,kind,label,kernel_ms,stwo_ms,kernel_over_stwo,source_csv,source_sha256,match_score
v0.3,trajectory,initial recursive kernel,44.798417,10.604625,4.224423,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/single-20260831-213935.csv,104ccbe4c729b0bd5400c98b8b79fdaad47da256289ba8f25dbcca05e4a7c1e0,0.022200
v0.4,trajectory,same Stwo BaseField arithmetic,36.408667,10.746750,3.387877,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/single-20260831-220441.csv,e10c0bd5814489369d405549db639597499e3225bd508d9823e3c0fe27b2cd81,0.008807
v0.5,trajectory,in-place domain order,33.754833,10.567542,3.194199,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/inplace-single-20260831-220901.csv,7e4ccc45876fbe02e916249fa912688fb28f63e34ab4071ebe6b54921518c26d,0.012127
v0.6,trajectory,bit-reversed twiddle-reuse schedule,15.462417,10.579250,1.461580,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/bitrev-single-20260831-221356.csv,bba394bc339e8623057789dcaab1a3a1bd62e3befd531c3efb659e667d0a7ca1,0.021247
v0.7,trajectory,Boolean-zeta 1M+2A coordinates,13.326166,10.714625,1.243736,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/sheared-1m2a-single-20260831-222509.csv,b9347b9cc88492d55add9f58406a8240d680638bc5695c13023f708f4b3a58cc,0.014167
v0.8,trajectory,three-level loop grouping,12.732375,10.846125,1.173910,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/fused3-1m2a-single-20260831-222941.csv,549ffd27be1f181c753ecc5f0f5960f33ea17910eaf283539f30a5363af63ce4,0.006933
v0.12,trajectory,native codegen / scalar sweep,10.028959,6.963416,1.440236,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/kernel-scalar-codegen-sweep-20260831-224351.csv,206fb6d46e1ac2fca5fc8f2a7425d3b7b84a56f92114b2ec443df33804fb7db8,0.012487
v0.13,trajectory,true scalar radix-8 register fusion,9.449917,7.970167,1.185661,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/kernel-true-register-fusion-20260831-224920.csv,67aaba6eeda229dc7ae7ab1cd78ecd6aee42a037173b3f66fb3864d28e653023,0.015227
v0.14,negative,naive cache blocking,11.247958,7.104958,1.583114,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/kernel-cache-blocked-r8-20260831-225325.csv,2f88e514f24add12b90e0fc706b3f0a9258ad6a0540ead970b261a3e73fb1e2a,0.002437
v0.15,negative,generic PackedM31 true radix-8,10.776750,7.046291,1.529422,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/kernel-true-packed-r8-simd-20260831-225804.csv,854979e98b2e72cb6fe7ec048265697324af27d39bb5ba5a6f85346777ba8acf,0.020487
v0.17,negative,PackedM31 radix-8 + exact Stwo twiddle mul,10.854917,6.977542,1.555694,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/kernel-true-r8-exact-fftmul-20260831-231027.csv,8cc6cea6f2af9bebd705b9bd3396c305421934bf9f9a2651d48dfab311486ba6,0.015847
v0.18,trajectory,raw redundant M31 direct NEON,9.141166,7.060250,1.294737,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/kernel-raw-redundant-neon-20260831-231808.csv,4d928972ff33cf45ea78203179d3deacd5fadea19acf765ff12b66685eb030dd,0.013293
v0.20,trajectory,fused final two-level NEON tail,6.916959,6.921375,0.999362,$HOME/algorizk-rd/benchmarks/kernel-vs-stwo-m31/results/kernel-fused-neon-tail2-20260901-082229.csv,cc8a457e7d622b0ab6f62525045598957a29fae7b986c42daa22c61107ccf3d1,0.017253
